			[*strength.w=>-p]	[*footmin-none]	[*word-elision]	[*stress.w=>-p]	[*posthoc-standardize-weakpos]	[*stress.s=>-u]	[*footmin-no-s-unless-preceded-by-ww]	[*posthoc-no-final-ww]	[*strength.s=>-u]
	FEW|now|RE|main|WHO|re|TURN|by|THE|weed|WE|ary|PATH|to.his|COT|tage		1	1		3	1	2			1
	few|NOW|re|MAIN|who.re|TURN|by|THE|weed|WE|ary|PATH|to|HIS|cot|TAGE		1	1		2	1	3			1
	few|NOW|re|MAIN.WHO|re|TURN|by|THE|weed|WE|ary|PATH|to|HIS|cot|TAGE		1	1		2		3	1		1
	few|NOW|re|MAIN|who.re|TURN|by.the|WEED.WE|ary|PATH|to|HIS|cot|TAGE		1	3		1	2	2			1
	few|NOW|re|MAIN.WHO|re|TURN|by.the|WEED.WE|ary|PATH|to|HIS|cot|TAGE		1	3		1	1	2	1		1
	few|NOW|re|MAIN|who|RE|turn|BY|the|WEED|we|ARY|path|TO|his|COT|tage		2			3		4			2
Drawn by the scene as it was met by the chill and the change;	DRAWN|by.the|SCENE|as|IT|was|MET|by.the|CHILL|and.the|CHANGE	1		3			2				
	DRAWN|by.the|SCENE|as|IT|was|MET|by|THE|chill|AND|the|CHANGE			1		1	1	2			
	drawn|BY|the|SCENE|as|IT|was|MET|by|THE|chill|AND|the|CHANGE					2		3			
	DRAWN|by.the|SCENE|as|IT|was|MET|by.the|CHILL|and|THE|change			2		1	2	1			
	drawn|BY|the|SCENE|as|IT|was|MET|by.the|CHILL|and.the|CHANGE			2		1	2	1			
	drawn|BY|the|SCENE|as|IT|was|MET|by.the|CHILL.AND|the|CHANGE			2		1	1	2			
	drawn|BY|the|SCENE|as|IT|was|MET|by.the|CHILL|and|THE|change			1		2	1	2			
Few are alive who report, and few are alive who remember,	FEW|are.al|IVE|who.re|PORT|and|FEW|are.al|IVE|who.re|MEM|ber	2		4			2				
	FEW|are.al|IVE.WHO|re|PORT|and|FEW|are.al|IVE.WHO|re|MEM|ber			4			2				
	few|ARE|al|IVE|who.re|PORT|and|FEW|are.al|IVE.WHO|re|MEM|ber			3			2	1			
	few|ARE|al|IVE.WHO|re|PORT|and|FEW|are.al|IVE.WHO|re|MEM|ber			3			1	1	1		
	FEW|are|AL|ive|WHO|re|PORT|and|FEW|are.al|IVE.WHO|re|MEM|ber		1	2		1	1	1			1
	FEW|are.al|IVE.WHO|re|PORT|and|FEW|are|AL|ive|WHO|re|MEM|ber		1	2		1	1	1			1
	few|ARE|al|IVE|who.re|PORT|and|FEW|are|AL|ive|WHO|re|MEM|ber		1	1		1	1	2			1
	few|ARE|al|IVE.WHO|re|PORT|and|FEW|are|AL|ive|WHO|re|MEM|ber		1	1		1		2	1		1
	FEW|are.al|IVE|who.re|PORT|and|FEW|are.al|IVE|who.re|MEM.BER			5			1	1			1
	FEW|are|AL|ive|WHO|re|PORT|and|FEW|are|AL|ive|WHO|re|MEM|ber		2			2		2			2
More of him now than a name carved somewhere on the sea.	MORE|of.him|NOW|than.a|NAME|carved|SOME|where|ON|the|SEA	1		2		2	2	1			
	more|OF|him|NOW|than.a|NAME|carved|SOME|where|ON|the|SEA			1		2	1	2			
	MORE|of|HIM|now|THAN|a|NAME|carved|SOME|where|ON|the|SEA					3		3			
	MORE|of.him|NOW|than.a|NAME|carved|SOME|where.on|THE.SEA			4		2	1	1			
	MORE|of.him|NOW|than.a|NAME.CARVED|some|WHERE|on.the|SEA		1	4		1	1				1
	MORE|of.him|NOW|than.a|NAME|carved|SOME.WHERE|on.the|SEA			4		1	1		1		1
	more|OF|him|NOW|than.a|NAME.CARVED|some|WHERE|on.the|SEA		1	3		1	2	1			1
	more|OF|him|NOW|than.a|NAME|carved|SOME.WHERE|on.the|SEA			3		1	2	1	1		1
	more|OF|him|NOW|than|A|name|CARVED|some|WHERE|on|THE.SEA		1	1		2		3	1		1
	more|OF|him|NOW|than.a|NAME.CARVED|some|WHERE|on|THE.SEA		1	3		1	1	2	1		1
	more|OF|him|NOW|than.a|NAME.CARVED|some|WHERE.ON|the|SEA		1	3		1	1	2	1		1
	more|OF|him|NOW|than.a|NAME|carved|SOME.WHERE|on|THE.SEA			3		1	1	2	2		1
	MORE|of|HIM|now|THAN|a|NAME|carved|SOME.WHERE|on|THE.SEA			2		2		3	2		1
“Where is he lying?” I ask, and the lights in the valley are nearer;	WHERE|is.he|LY|ing.i|ASK|and.the|LIGHTS|in.the|VAL|ley.are|NEAR|er	2		5			1				
	where|IS|he|LY|ing|I|ask|AND|the|LIGHTS|in.the|VAL|ley.are|NEAR|er			2		1	2	2			
	where|IS|he|LY|ing.i|ASK|and|THE|lights|IN|the|VAL|ley.are|NEAR|er			2		1	2	2			
	where|IS|he|LY|ing|I|ask|AND|the|LIGHTS.IN|the|VAL|ley.are|NEAR|er			2		1	1	2	1		
	where|IS|he|LY|ing|I.ASK|and|THE|lights|IN|the|VAL|ley.are|NEAR|er			2		1	1	2	1		
	where|IS|he|LY|ing.i|ASK|and.the|LIGHTS|in.the|VAL|ley.are|NEAR|er			4			3	1			
	where|IS|he|LY|ing.i|ASK|and.the|LIGHTS.IN|the|VAL|ley.are|NEAR|er			4			3	1			
	WHERE|is.he|LY|ing|I|ask|AND|the|LIGHTS|in.the|VAL|ley.are|NEAR|er			3		1	3	1			
	WHERE|is.he|LY|ing.i|ASK|and|THE|lights|IN|the|VAL|ley.are|NEAR|er			3		1	3	1			
	WHERE|is.he|LY|ing.i|ASK|and.the|LIGHTS|in.the|VAL|ley.are|NEAR.ER			6				1			1
	WHERE|is|HE|ly|ING|i|ASK|and|THE|lights|IN|the|VAL|ley.are|NEAR|er		1	1		2	1	2			1
	where|IS|he|LY|ing|I|ask|AND|the|LIGHTS|in|THE|val|LEY|are|NEAR|er		1			2		4			1
	where|IS|he|LY|ing|I.ASK|and.the|LIGHTS.IN|the|VAL|ley.are|NEAR|er			4			2	1	1		
	WHERE|is|HE.LY|ing|I|ask|AND|the|LIGHTS|in.the|VAL|ley.are|NEAR|er			3		1	2	1	1		
	WHERE|is|HE.LY|ing.i|ASK|and|THE|lights|IN|the|VAL|ley.are|NEAR|er			3		1	2	1	1		
	WHERE|is.he|LY|ing|I|ask|AND|the|LIGHTS.IN|the|VAL|ley.are|NEAR|er			3		1	2	1	1		
	WHERE|is.he|LY|ing|I.ASK|and|THE|lights|IN|the|VAL|ley.are|NEAR|er			3		1	2	1	1		
	WHERE|is|HE.LY|ing|I|ask|AND|the|LIGHTS.IN|the|VAL|ley.are|NEAR|er			3		1	1	1	2		
	WHERE|is|HE.LY|ing|I.ASK|and|THE|lights|IN|the|VAL|ley.are|NEAR|er			3		1	1	1	2		
	where|IS|he|LY|ing|I|ask|AND|the|LIGHTS.IN|the|VAL|ley|ARE.NEAR|er			2		1		3	2		
	where|IS|he|LY|ing|I.ASK|and|THE|lights|IN|the|VAL|ley|ARE.NEAR|er			2		1		3	2		
	WHERE|is|HE|ly|ING|i|ASK|and.the|LIGHTS.IN|the|VAL|ley.are|NEAR|er		1	3		1	2	1			1
	WHERE|is|HE.LY|ing|I|ask|AND|the|LIGHTS|in|THE|val|LEY|are|NEAR|er		1	1		2		3	1		1
	WHERE|is|HE|ly|ING|i|ASK|and|THE|lights|IN|the|VAL|ley|ARE.NEAR|er		1	1		2		3	1		1
	where|IS|he|LY|ing|I.ASK|and.the|LIGHTS.IN|the|VAL|ley|ARE.NEAR|er			4			1	2	2		
	WHERE|is|HE.LY|ing|I|ask|AND|the|LIGHTS.IN|the|VAL|ley|ARE.NEAR|er			3		1		2	3		
	WHERE|is|HE.LY|ing|I.ASK|and|THE|lights|IN|the|VAL|ley|ARE.NEAR|er			3		1		2	3		
Down to the streets I go, down to the murmur of men.	down|TO|the|STREETS|i|GO|down|TO|the|MUR|mur.of|MEN			1			1	2			
	down|TO|the|STREETS|i|GO|down|TO|the|MUR|mur|OF|men					1		3			
	down|TO|the|STREETS|i|GO|down|TO|the|MUR|mur|OF.MEN			1				3	1		
Down to the roar of the sea in a ship may be well for another	down|TO|the|ROAR|of|THE|sea|IN|a|SHIP|may|BE|well|FOR|an|OTH|er					2		3			
	down|TO|the|ROAR|of.the|SEA.IN|a|SHIP|may|BE|well|FOR|an|OTH|er			2		1	1	2			
	down|TO|the|ROAR|of|THE|sea|IN|a|SHIP|may|BE.WELL|for.an|OTH|er			2		1	1	2	1		
	down|TO|the|ROAR|of.the|SEA|in.a|SHIP|may.be|WELL|for.an|OTH|er			4			3	1			
	down|TO|the|ROAR|of.the|SEA.IN|a|SHIP|may.be|WELL|for.an|OTH|er			4			3	1			
	down|TO|the|ROAR|of.the|SEA.IN|a|SHIP|may|BE.WELL|for.an|OTH|er			4			2	1	1		
	down|TO|the|ROAR|of|THE|sea|IN|a|SHIP|may|BE.WELL|for|AN.OTH|er			2		1		3	2		1
	down|TO|the|ROAR|of.the|SEA|in.a|SHIP|may.be|WELL|for.an|OTH.ER			5			2	2			1
	down|TO|the|ROAR|of.the|SEA.IN|a|SHIP|may|BE.WELL|for|AN.OTH|er			4			1	2	2		1
Down where he lies to-night, silent, and under the storms.	down|WHERE|he|LIES|to.night|SIL|ent.and|UN|der.the|STORMS			3		1	2				
	down.where|HE.LIES|to.night|SIL|ent.and|UN|der.the|STORMS			5		1					
	down|WHERE|he|LIES|to|NIGHT|sil|ENT|and|UN|der.the|STORMS		1	1		1	1	1			1
	down|WHERE|he|LIES|to|NIGHT|sil|ENT|and|UN|der|THE|storms		1			2		2			1
	down|WHERE|he|LIES|to|NIGHT.SIL|ent.and|UN|der.the|STORMS			3			2		1		
	down|WHERE|he|LIES|to|NIGHT.SIL|ent.and|UN|der|THE|storms			2		1	1	1	1		
	down|WHERE|he|LIES|to.night|SIL|ent.and|UN|der|THE|storms			2		2	2	1			
	down.where|HE.LIES|to|NIGHT.SIL|ent.and|UN|der.the|STORMS			5			1		1		
	down|WHERE|he|LIES|to|NIGHT.SIL|ent.and|UN.DER|the|STORMS			3			1	1	1		1
	down|WHERE|he|LIES|to|NIGHT|sil|ENT|and|UN|der|THE.STORMS		1	1		1		2	1		1
	down|WHERE|he|LIES|to|NIGHT.SIL|ent|AND|un|DER|the|STORMS		1	1		1		2	1		1
	down|WHERE|he|LIES|to|NIGHT.SIL|ent.and|UN|der|THE.STORMS			3			1	1	2		
	DOWN|where|HE|lies|TO|night|SIL|ent.and|UN|der|THE|storms			1		3	1	3			
	DOWN|where|HE|lies|TO|night|SIL|ent.and|UN.DER|the|STORMS			2		2	1	3			1
Woman much missed, how you call to me, call to me,	WOM|an.much|MISSED|how.you|CALL|to.me|CALL|to.me	2		4						1	
	WOM|an.much|MISSED|how.you|CALL|to.me|CALL|to|ME			3			1	1			
	WOM|an|MUCH|missed|HOW|you|CALL|to.me|CALL|to|ME			1		1	1	2			
	WOM|an|MUCH|missed|HOW|you|CALL|to|ME|call|TO|me					2		3			
	WOM|an|MUCH|missed|HOW|you|CALL|to.me|CALL|to.me			2		1	2	1		1	
	WOM|an|MUCH.MISSED|how.you|CALL|to|ME|call|TO|me			2		1	1	2	1		
	WOM|an.much|MISSED|how.you|CALL|to|ME|call|TO|me			2		2	2	2			
Saying that now you are not as you were	SAY|ing.that|NOW|you.are|NOT|as.you|WERE	2		3				1			
	SAY|ing|THAT|now|YOU|are|NOT|as|YOU|were					1		2			
	SAY|ing.that|NOW|you.are|NOT|as|YOU|were			2			2	1			
	SAY|ing.that|NOW|you|ARE|not|AS|you|WERE			1			1	3			
	SAY|ing|THAT.NOW|you.are|NOT|as|YOU|were			2			1	1	1		
	SAY|ing|THAT.NOW|you|ARE|not|AS|you|WERE			1				3	1		
When you had changed from the one who was all to me,	WHEN|you.had|CHANGED|from.the|ONE|who.was|ALL|to.me	2		4				1		1	
	when|YOU|had|CHANGED|from|THE|one|WHO|was|ALL|to|ME							3			
	WHEN|you.had|CHANGED|from|THE|one|WHO|was|ALL|to|ME			1			1	2			
	WHEN|you|HAD.CHANGED|from|THE|one|WHO|was|ALL|to|ME			1				2	1		
	WHEN|you.had|CHANGED|from|THE|one|WHO|was|ALL|to.me			2			2	1		1	
	WHEN|you|HAD.CHANGED|from|THE|one|WHO|was|ALL|to.me			2			1	1	1	1	
But as at first, when our day was fair.	BUT|as|AT|first|WHEN|our|DAY|was|FAIR					1		1			
	but.as|AT|first|WHEN|our|DAY|was|FAIR			1		1	1				
	but|AS|at|FIRST|when.our|DAY|was|FAIR			1			1	1			
	but|AS|at|FIRST.WHEN|our|DAY|was|FAIR			1				1	1		
	but.as|AT.FIRST|when.our|DAY|was|FAIR			3			1				
	but.as|AT.FIRST|when.our|DAY|was.fair			4		1				1	
Can it be you that I hear? Let me view you, then,	can|IT|be|YOU|that|I|hear|LET|me|VIEW|you|THEN					1		1			
	CAN|it|BE|you|THAT|i|HEAR.LET|me|VIEW|you|THEN			1				1	1		
	can|IT|be.you|THAT.I|hear|LET|me|VIEW|you|THEN			2		1	1				
	can|IT|be|YOU|that.i|HEAR.LET|me|VIEW|you|THEN			2			1	1			
	can|IT|be.you|THAT|i|HEAR.LET|me|VIEW|you|THEN			2			1		1		
	can.it|BE|you|THAT|i|HEAR.LET|me|VIEW|you|THEN			2			1		1		
	can|IT.BE|you|THAT|i|HEAR.LET|me|VIEW|you|THEN			2					2		
Standing as when I drew near to the town	STAND|ing.as|WHEN|i.drew|NEAR|to.the|TOWN	2		3		1					
	STAND|ing.as|WHEN|i|DREW|near|TO|the|TOWN			1			1	1			
	STAND|ing|AS|when|I|drew|NEAR|to|THE|town					2		2			
	STAND|ing|AS|when|I.DREW|near|TO|the|TOWN			1				2	1		
	stand|ING|as|WHEN|i|DREW|near|TO|the|TOWN		1			1		2			1
	STAND|ing.as|WHEN|i|DREW.NEAR|to.the|TOWN			3			1		1		
Where you would wait for me: yes, as I knew you then,	WHERE|you.would|WAIT|for.me|YES|as.i|KNEW|you.then	2		4						1	
	WHERE|you.would|WAIT|for.me|YES|as.i|KNEW|you|THEN			3			1				
	WHERE|you|WOULD|wait|FOR|me|YES|as.i|KNEW|you|THEN			1		1	1	1			
	WHERE|you|WOULD|wait|FOR|me|YES|as|I|knew|YOU|then					2		2			
	where|YOU|would|WAIT|for|ME|yes|AS|i|KNEW|you|THEN					1		3			
	WHERE|you|WOULD|wait|FOR|me|YES|as|I.KNEW|you|THEN			1		1		1	1		
	where|YOU|would|WAIT|for.me|YES|as.i|KNEW|you|THEN			2			2	1			
	where|YOU|would|WAIT|for.me|YES|as|I.KNEW|you|THEN			2			1	1	1		
Even to the original air-blue gown!	EV|en|TO|the.or|IG|in.al|AIR|blue|GOWN	1		2		1	2	1			
	EV|en.to|THE|or|IG|in.al|AIR|blue|GOWN			2		1	2	1			
	EV|en|TO|the.or|IG|in|AL|air|BLUE|gown			1		2	1	2			
	EV|en.to|THE|or|IG|in|AL|air|BLUE|gown			1		2	1	2			
	EV|en|TO|the.or|IG|in|AL|air|BLUE.GOWN			2		1	1	2	1		
	EV|en.to|THE|or|IG|in|AL|air|BLUE.GOWN			2		1	1	2	1		
	EV|en|TO|the.or|IG|in.al|AIR|blue.gown			3		2	1	1		1	
	EV|en.to|THE|or|IG|in.al|AIR|blue.gown			3		2	1	1		1	
	ev|EN|to|THE|or|IG|in.al|AIR|blue|GOWN		1	1		2	1	2			1
	ev|EN|to|THE|or|IG|in|AL|air|BLUE|gown		1			3		3			1
	EV|en|TO|the|OR|ig|IN|al|AIR|blue|GOWN		1			2		3			2
	ev|EN|to|THE|or|IG|in|AL|air|BLUE.GOWN		1	1		2		3	1		1
Or is it only the breeze, in its listlessness	or|IS|it|ON|ly|THE|breeze|IN|its|LIST|less|NESS					1		3			
	or|IS|it|ON|ly.the|BREEZE.IN|its|LIST|less|NESS			2			1	2			
	or.is|IT.ON|ly.the|BREEZE|in.its|LIST|less|NESS			4			1	1			
	or.is|IT.ON|ly.the|BREEZE|in.its|LIST|less.ness			5						1	
	or|IS|it|ON|ly|THE|breeze|IN|its|LIST|less.ness			1		1	1	2		1	
	or|IS|it|ON|ly.the|BREEZE|in.its|LIST|less.ness			3			2	1		1	
	or|IS|it|ON|ly.the|BREEZE.IN|its|LIST|less.ness			3			2	1		1	
	OR|is|IT.ON|ly.the|BREEZE|in.its|LIST|less.ness			4			1	1	1	1	
	or.is|IT.ON|ly.the|BREEZE.IN|its.list|LESS.NESS		1	6		1		2			1
Travelling across the wet mead to me here,	TRA|velling.acr|OSS|the.wet|MEAD|to.me|HERE	2		3		1					
	TRAV|el|LING|acr|OSS|the|WET|mead|TO|me|HERE					1		2			
	TRA|velling.acr|OSS|the|WET|mead|TO|me|HERE			1		1	1	1			
	TRAV|el|LING|acr|OSS|the|WET.MEAD|to|ME|here			1				2	1		
	TRA|velling.acr|OSS|the|WET.MEAD|to.me|HERE			3			1		1		
	TRAV|el|LING|acr|OSS|the|WET.MEAD|to.me|HERE			2			1	1	1		
	TRA|velling.acr|OSS|the|WET.MEAD|to|ME|here			2			1	1	1		
You being ever dissolved to wan wistlessness,	you|BE|ing|EV|er.dis|SOLVED|to|WAN.WIST|less|NESS			2			1	1	1		
	you|BE|ing|EV|er.dis|SOLVED|to.wan|WIST|less|NESS			2		1	2	1			
	you|BE|ing|EV|er.dis|SOLVED|to|WAN|wist|LESS|ness		1	1		1	1	1			1
	you|BE|ing|EV|er.dis|SOLVED|to.wan|WIST|less.ness			3		1	2			1	
	you|BE|ing|EV|er|DIS|solved|TO|wan|WIST|less|NESS		1			2		3			1
	you|BE|ing|EV|er.dis|SOLVED|to|WAN.WIST|less.ness			3			2		1	1	
Heard no more again far or near?	heard|NO|more.ag|AIN.FAR|or|NEAR	1		2		1	1				
	HEARD|no|MORE|ag|AIN|far|OR|near					2		1			
	HEARD|no|MORE|ag|AIN.FAR|or|NEAR			1		1			1		
	HEARD|no|MORE|ag|AIN|far.or|NEAR			1		2	1				
	HEARD.NO|more.ag|AIN.FAR|or|NEAR			3			1		1		
	HEARD.NO|more.ag|AIN.FAR|or.near			4					1	1	
Thus I; faltering forward,	THUS|i|FAL|ter.ing|FOR|ward	2		1			1				
	THUS|i|FALT|ering|FOR|ward				1						
	THUS|i|FAL|ter|ING.FOR|ward			1				1	1		
	thus|I|fal|TER|ing|FOR|ward		1			2		1			1
	THUS|i|FAL|ter|ING|for|WARD		1			1		2			1
Leaves around me falling,	LEAVES|aro|UND|me|FALL|ing	2									
Wind oozing thin through the thorn from norward,	wind|OOZ|ing|THIN|through.the|THORN|from|NOR|ward			1		1	1				
	WIND.OOZ|ing|THIN|through.the|THORN|from|NOR|ward			2			1		1		
	WIND|ooz|ING|thin|THROUGH|the|THORN|from|NOR|ward		1			2		2			1
	wind|OOZ|ing|THIN|through|THE|thorn|FROM.NOR|ward			1		2		2	1		
	WIND.OOZ|ing|THIN|through|THE|thorn|FROM.NOR|ward			2		1		2	2		
And the woman calling.	AND|the|WOM|an|CALL|ing	1						1			
	and.the|WOM|an|CALL|ing	1		1			1				
	and.the|WOM|an.call|ING		1	2		1		1			1
Why so pale and wan fond Lover?	WHY|so|PALE|and|WAN|fond|LO|ver	2				1					
Prithee why so pale?	PR|ithee|WHY|so|PALE	2									
Will, when looking well can't move her,	WILL|when|LOOK|ing|WELL|can't|MOVE|her	2				1		1			
	will.when|LOOK|ing|WELL|can't|MOVE|her			1		1	1				
	will|WHEN.LOOK|ing|WELL|can't|MOVE|her			1		1			1		
	will.when|LOOK|ing.well|CAN'T|move.her			3		2				1	
Looking ill prevaile?	LOOK|ing|ILL|pre|VAILE	2									
Prithee why so pale?	PR|ithee|WHY|so|PALE	2									
Why so dull and mute young Sinner?	WHY|so|DULL|and|MUTE|young|SIN|ner	2				1					
Prithee why so mute?	PR|ithee|WHY|so|MUTE	2									
Will, when speaking well can't win her,	WILL|when|SPEAK|ing|WELL|can't|WIN|her	2				1		1			
	will.when|SPEAK|ing|WELL|can't|WIN|her			1		1	1				
	will|WHEN.SPEAK|ing|WELL|can't|WIN|her			1		1			1		
	will.when|SPEAK|ing.well|CAN'T|win.her			3		2				1	
Saying nothing doo't?	SAY|ing|NOTH|ing|DOO'T	2									
Prithee why so mute?	PR|ithee|WHY|so|MUTE	2									
Quit, quit, for shame, this will not move	quit|QUIT|for|SHAME|this|WILL|not|MOVE	2				1		1			
	QUIT.QUIT|for|SHAME|this|WILL|not|MOVE			1				1	1		
	quit|QUIT|for|SHAME|this.will|NOT.MOVE			2		1	1				
	quit|QUIT|for|SHAME|this.will|NOT|move			1		2	1				
	QUIT.QUIT|for|SHAME|this.will|NOT.MOVE			3			1		1		
	QUIT.QUIT|for|SHAME|this.will|NOT|move			2		1	1		1		
This cannot take her;	this|CAN|not|TAKE|her	2									
If of her selfe shee will not Love,	if|OF|her|SELFE|shee|WILL|not|LOVE	1				1		2			
	if|OF|her|SELFE.SHEE|will|NOT|love			1		1		1	1		
	if|OF|her|SELFE|shee.will|NOT.LOVE			2		1	1	1			
	if|OF|her.selfe|SHEE|will.not|LOVE			2		1	1	1			
	if.of|HER|selfe|SHEE|will.not|LOVE			2		1	1	1			
	if|OF|her|SELFE|shee.will|NOT|love			1		2	1	1			
	if|OF|her.selfe|SHEE|will|NOT|love			1		2	1	1			
	if.of|HER|selfe|SHEE|will|NOT|love			1		2	1	1			
	if|OF|her|SELFE.SHEE|will.not|LOVE			2			1	1	1		
	if|OF|her|SELFE.SHEE|will|NOT.LOVE			2				1	2		
Nothing can make her,	NOTH|ing.can|MAKE|her	1		1			1				
	noth|ING|can|MAKE|her	1	1			1		1			1
	NOTH|ing.can|MAKE.HER			2				1			
	NOTH|ing|CAN|make|HER					1		2			
	NOTH|ing|CAN.MAKE|her			1				1	1		
The Devill take her.	the|DEV|ill|TAKE|her	2	1			1		1			1
	the.dev|ILL.TAKE|her			2			1				
	THE|dev|ILL|take|HER					1		2			
	THE|dev|ILL.TAKE|her			1				1	1		
	the.dev|ILL|take|HER			1		1	1	1			
	the.dev|ILL|take.her			2		1				1	
	THE|dev|ILL|take.her			1		1	1	1		1	
Tyger Tyger, burning bright,	TYG|er|TYG|er|BURN|ing|BRIGHT	2									
In the forests of the night;	IN|the|FORE|sts|OF|the|NIGHT	2						1			
What immortal hand or eye,	WHAT|im|MOR|tal|HAND|or|EYE	2									
Could frame thy fearful symmetry?	could|FRAME|thy|FEAR|ful|SYM|me|TRY	2						1			
	could|FRAME|thy|FEAR|ful|SYM|me.try			1			1			1	
In what distant deeps or skies	IN|what|DIS|tant|DEEPS|or|SKIES	2									
Burnt the fire of thine eyes!	BURNT|the|FI|re|OF|thine|EYES	1						1			
	BURNT|the|FIRE|of.thine|EYES			1	1		1				
On what wings dare he aspire?	ON|what|WINGS|dare|HE|as|PIRE	2				1		1			
	on.what|WINGS.DARE|he.as|PIRE			3							
	on|WHAT|wings|DARE|he.as|PIRE			1		1	1				
	on.what|WINGS|dare|HE|as|PIRE			1		1	1				
	on|WHAT|wings|DARE.HE|as|PIRE			1		1			1		
	on|WHAT.WINGS|dare|HE|as|PIRE			1		1			1		
	ON|what|WINGS.DARE|he.as|PIRE			2			1	1	1		
	ON|what|WINGS.DARE|he|AS.PIRE			2				2	2		1
What the hand, dare sieze the fire?	WHAT|the|HAND|dare|SIEZE|the|FIRE [*Bounded]	2			1	1					
	WHAT|the|HAND|dare|SIEZE|the|FI|re					1					
And what shoulder, and what art,	AND|what|SHOUL|der|AND|what|ART	2						2			
	and.what|SHOUL|der.and|WHAT.ART			3							
	and.what|SHOUL|der.and|WHAT|art			2			1				
	AND|what|SHOUL|der.and|WHAT|art			1			1	1			
	and.what|SHOUL|der|AND|what|ART			1			1	1			
	and|WHAT.SHOUL|der|AND|what|ART			1				1	1		
	and|WHAT|shoul|DER|and|WHAT|art		1			1		1			1
Could twist the sinews of thy heart?	could|TWIST|the|SIN|ews|OF|thy|HEART	2						1			
And when thy heart began to beat,	and|WHEN|thy|HEART|be|GAN|to|BEAT	2									
What dread hand? and what dread feet?	WHAT|dread|HAND|and|WHAT|dread|FEET	2				2					
	what|DREAD.HAND|and|WHAT|dread|FEET			1		1			1		
	WHAT|dread|HAND|and.what|DREAD.FEET			2		1	1				
	what.dread|HAND|and.what|DREAD.FEET			3		1					
	what|DREAD.HAND|and.what|DREAD.FEET			3			1		1		
What the hammer? what the chain,	WHAT|the|HAM|mer|WHAT|the|CHAIN	2									
In what furnace was thy brain?	IN|what|FUR|nace|WAS|thy|BRAIN	2						1			
What the anvil? what dread grasp,	WHAT|the|AN|vil|WHAT|dread|GRASP	2				1					
	WHAT|the|AN|vil.what|DREAD.GRASP			2			1				
	what.the|AN|vil.what|DREAD.GRASP			3							
Dare its deadly terrors clasp?	DARE|its|DEAD|ly|TER|rors|CLASP	2									
When the stars threw down their spears	WHEN|the|STARS|threw|DOWN|their|SPEARS	2				1		1			
	when.the|STARS.THREW|down.their|SPEARS			3							
	WHEN|the.stars|THREW|down.their|SPEARS			2		1					
	WHEN|the|STARS.THREW|down.their|SPEARS			2			1		1		
	WHEN|the|STARS.THREW|down|THEIR.SPEARS			2				1	2		
And water'd heaven with their tears:	and|WA|ter'd|HEAV|en|WITH|their|TEARS	2						1			
	and|WA|ter'd|HEAVEN|with.their|TEARS			1	1		1				
Did he smile his work to see?	DID|he|SMILE|his|WORK|to|SEE	2									
Did he who made the Lamb make thee?	did|HE|who|MADE|the|LAMB|make|THEE	2				1		1			
	did|HE|who|MADE|the|LAMB.MAKE|thee			1					1		
	did|HE|who|MADE|the.lamb|MAKE|thee			1		1	1				
Tyger, Tyger burning bright,	TYG|er|TYG|er|BURN|ing|BRIGHT	2									
In the forests of the night:	IN|the|FORE|sts|OF|the|NIGHT	2						1			
What immortal hand or eye,	WHAT|im|MOR|tal|HAND|or|EYE	2									
Dare frame thy fearful symmetry?	dare|FRAME|thy|FEAR|ful|SYM|me|TRY	2				1		1			
	DARE.FRAME|thy|FEAR|ful|SYM|me|TRY			1				1	1		
	dare|FRAME|thy|FEAR|ful|SYM|me.try			1		1	1			1	
	DARE.FRAME|thy|FEAR|ful|SYM|me.try			2			1		1	1	
Hail to thee, blithe Spirit!	HAIL|to|THEE|blithe|SPIR|it	2				1		1			
	HAIL|to.thee|BLITHE.SPIR|it			2			1				
	HAIL|to.thee|BLITHE|spir.it		1	2		1				1	
Bird thou never wert,	BIRD|thou|NEV|er|WERT	2						1			
	BIRD|thou|NEV|er.wert			1			1			1	
That from heaven, or near it	THAT|from|HEAVEN|or|NEAR|it	2			1						
	THAT|from|HEAV|en|OR|near|IT							1			
	THAT|from|HEAV|en.or|NEAR|it			1			1				
	that.from|HEAV|en.or|NEAR.IT			3							
Pourest thy full heart	POU|rest.thy|FULL.HEART	1		2							
	POU|rest|THY|full|HEART	1				1		1			
	POU|rest.thy|FULL|heart			1		1	1				
In profuse strains of unpremeditated art.	in|PRO|fuse|STRAINS|of|UN|pr|EM|ed|IT|ated|ART	2	1			1		2			1
	IN|pro|FUSE.STRAINS|of|UN|pr|EM|ed|IT|ated|ART			1				1	1		
	in.pro|FUSE.STRAINS|of|UN|pr|EM|ed|IT|ated|ART			2			1	1			
	IN|pro|FUSE|strains|OF|un.pr|EM|ed|IT|ated|ART			1		1	1	1			
	IN|pro|FUSE|strains.of|UN|pr|EM|ed|IT|ated|ART			1		1	1	1			
Higher still and higher	HIGH|er|STILL|and|HIGH|er	1									
From the earth thou springest,	FROM|the|EARTH|thou|SPRI|ngest	2						1			
	from.the|EARTH|thou|SPRI|ngest			1			1				
	from.the|EARTH|thou.spri|NGEST		1	2		1		1			1
	from.the|EARTH.THOU|spri.ngest		1	3		1		1		1	
Like a cloud of fire,	LIKE|a|CLOUD|of|FI|re	1									
The blue deep thou wingest,	THE|blue|DEEP|thou|WIN|gest	1				1		1			
