			[*strength.w=>-p]	[*footmin-w-resolution]	[*footmin-f-resolution]	[*stress.s=>-u]	[*stress.w=>-p]
	the|DEVILL|take*|HER*					1	1
Tyger Tyger, burning bright,	TYG|er|TYG|er|BURN|ing|BRIGHT	2					
In the forests of the night;	IN|the|FORE|sts|OF*|the|NIGHT	2				1	
	in.the|FORE|sts|OF*|the|NIGHT					1	
What immortal hand or eye,	WHAT|im|MOR|tal|HAND|or|EYE	2					
Could frame thy fearful symmetry?	could|FRAME|thy|FEAR|ful|SYM|me|TRY*	2				1	
	could|FRAME|thy|FEAR|ful|SYM.ME*|try					1	
	could|FRAME|thy|FEAR|ful|SYM|me.try*			1			
In what distant deeps or skies	IN|what|DIS|tant|DEEPS|or|SKIES	2					
	in.what|DIS|tant|DEEPS|or|SKIES						
Burnt the fire of thine eyes!	BURNT|the|FIRE|of|THINE*|eyes* [*Bounded]	1				1	1
	BURNT|the|FI|re|OF*|thine|EYES [*Bounded]	1				1	
	BURNT|the|FIRE|of.thine|EYES						
On what wings dare he aspire?	ON*|what*|WINGS|dare*|HE|as|PIRE [*Bounded]	2				1	2
	on.what|WINGS|dare*|HE|as|PIRE						1
	on.what|WINGS.DARE*|he.as*|PIRE				2		
	on.what|WINGS.DARE*|he|AS.PIRE*			1	1	1	
What the hand, dare sieze the fire?	WHAT|the|HAND|dare*|SIEZE|the|FIRE	2					1
	WHAT|the|HAND|dare*|SIEZE|the|FI|re						1
	what.the|HAND|dare*|SIEZE|the|FI|re						1
	what.the|HAND|dare*|SIEZE|the|FIRE						1
And what shoulder, and what art,	AND*|what*|SHOUL|der|AND*|what|ART [*Bounded]	2				2	1
	and.what|SHOUL|der|AND*|what|ART					1	
	and.what|SHOUL|der|AND*|what.art					1	
	and.what|SHOUL|der.and*|WHAT|art				1		
Could twist the sinews of thy heart?	could|TWIST|the|SIN|ews|OF*|thy|HEART	2				1	
And when thy heart began to beat,	and|WHEN|thy|HEART|be|GAN|to|BEAT	2					
What dread hand? and what dread feet?	WHAT|dread*|HAND|and|WHAT|dread*|FEET	2					2
	WHAT|dread*|HAND|and.what|DREAD|feet*						2
	what|DREAD.HAND*|and|WHAT|dread*|FEET				1		1
	WHAT|dread*|HAND|and.what|DREAD.FEET*				1		1
	what|DREAD.HAND*|and.what|DREAD|feet*				1		1
	what|DREAD.HAND*|and.what|DREAD.FEET*				2		
What the hammer? what the chain,	WHAT|the|HAM|mer|WHAT|the|CHAIN	2					
	what.the|HAM|mer|WHAT|the|CHAIN						
In what furnace was thy brain?	IN|what|FUR|nace|WAS*|thy|BRAIN	2				1	
	in.what|FUR|nace|WAS*|thy|BRAIN					1	
What the anvil? what dread grasp,	WHAT|the|AN|vil|WHAT|dread*|GRASP	2					1
	what.the|AN|vil|WHAT|dread*|GRASP						1
	WHAT|the|AN|vil.what*|DREAD.GRASP*				2		
	what.the|AN|vil.what*|DREAD.GRASP*				2		
	WHAT|the|AN.VIL*|what|DREAD.GRASP*			1	1	1	
	what.the|AN.VIL*|what|DREAD.GRASP*			1	1	1	
Dare its deadly terrors clasp?	DARE|its|DEAD|ly|TER|rors|CLASP	2					
When the stars threw down their spears	WHEN|the|STARS|threw*|DOWN*|their|SPEARS	2				1	1
	WHEN|the|STARS.THREW*|down.their|SPEARS				1		
	when.the|STARS.THREW*|down.their|SPEARS				1		
	when|THE*|stars*|THREW|down.their|SPEARS					1	1
	when.the|STARS|threw*|DOWN*|their|SPEARS					1	1
And water'd heaven with their tears:	and|WA|ter'd|HEAV|en|WITH*|their|TEARS [*Bounded]	2				1	
	and|WA|ter'd|HEAVEN|with.their|TEARS						
Did he smile his work to see?	DID|he|SMILE|his|WORK|to|SEE	2					
	did.he|SMILE|his|WORK|to|SEE						
Did he who made the Lamb make thee?	did|HE|who|MADE|the|LAMB|make*|THEE*	2				1	1
	did|HE|who|MADE|the|LAMB.MAKE*|thee				1		
	DID|he.who|MADE|the|LAMB.MAKE*|thee				1		
	DID|he.who|MADE|the|LAMB|make*|THEE*					1	1
Tyger, Tyger burning bright,	TYG|er|TYG|er|BURN|ing|BRIGHT	2					
In the forests of the night:	IN|the|FORE|sts|OF*|the|NIGHT	2				1	
	in.the|FORE|sts|OF*|the|NIGHT					1	
What immortal hand or eye,	WHAT|im|MOR|tal|HAND|or|EYE	2					
Dare frame thy fearful symmetry?	dare*|FRAME|thy|FEAR|ful|SYM|me|TRY*	2				1	1
	dare*|FRAME|thy|FEAR|ful|SYM.ME*|try					1	1
	DARE.FRAME*|thy|FEAR|ful|SYM|me|TRY*				1	1	
	dare*|FRAME|thy|FEAR|ful|SYM|me.try*			1			1
	DARE.FRAME*|thy|FEAR|ful|SYM.ME*|try				1	1	
	DARE.FRAME*|thy|FEAR|ful|SYM|me.try*			1	1		
Hail to thee, blithe Spirit!	HAIL|to|THEE*|blithe*|SPIR|it	2				1	1
	HAIL|to.thee|BLITHE.SPIR*|it				1		
	HAIL|to.thee|BLITHE|spir.it*		1				1
Bird thou never wert,	BIRD|thou|NEV|er|WERT*	2				1	
	BIRD|thou|NEV.ER*|wert					1	
	BIRD|thou|NEV|er.wert*				1		
That from heaven, or near it	THAT|from|HEAVEN|or|NEAR|it	2					
	THAT|from|HEAVEN|or.near|IT						
	that.from|HEAVEN|or|NEAR|it						
	that.from|HEAVEN|or.near|IT						
Pourest thy full heart	POUREST|thy|FULL|heart*						1
	POUREST|thy|FULL.HEART*				1		
In profuse strains of unpremeditated art.	IN|pro|FUSE.STRAINS*|of|UNPREMEDITATED|art				1		
	IN|pro|FUSE|strains*|OF*|unpremeditated*|ART					1	2
	in|PRO*|fuse*|STRAINS|of|UNPREMEDITATED|art		1			1	1
	IN|pro.fuse*|STRAINS|of|UNPREMEDITATED|art		1	1			1
Higher still and higher	HIGH|er|STILL|and|HIGH|er	1					
	HIGH|er|STILL|and|HIGHER	1					
From the earth thou springest,	from.the|EARTH|thou|SPRINGEST						
Like a cloud of fire,	LIKE|a|CLOUD|of|FI|re	1					
	LIKE|a|CLOUD|of|FIRE	1					
	like.a|CLOUD|of|FI|re						
	like.a|CLOUD|of|FIRE						
The blue deep thou wingest,	the|BLUE.DEEP*|thou|WINGEST				1		
	THE*|blue*|DEEP|thou|WINGEST					1	1
And singing still dost soar, and soaring ever singest.	and|SI|nging|STILL|dost|SOAR|and|SOAR|ing|EV|er|SINGEST						
In the golden lightning	IN|the|GOLD|en|LIGHT|ning	2					
	in.the|GOLD|en|LIGHT|ning						
Of the sunken sun	of.the|SUN|ken|SUN						
O'er which clouds are brightening,	O'ER*|which*|CLOUDS|are|BRIG|htening [*Bounded]	2				1	1
	o'er.which|CLOUDS|are|BRIG|htening						
Thou dost float and run,	THOU*|dost*|FLOAT|and|RUN [*Bounded]	2				1	1
	thou.dost|FLOAT|and|RUN						
Like an unbodied joy whose race is just begun.	LIKE|an|UNBODIED.JOY*|whose|RACE|is|JUST|be|GUN				1		
	like.an|UNBODIED.JOY*|whose|RACE|is|JUST|be|GUN				1		
	LIKE|an|UNBODIED|joy*|WHOSE|race*|IS|just|BE|gun						2
	like|AN*|unbodied*|JOY|whose|RACE|is|JUST|be|GUN					1	1
	like.an|UNBODIED|joy*|WHOSE|race*|IS|just|BE|gun						2
The pale purple even	the|PALE.PUR*|ple|EV|en	1			1		
	THE*|pale*|PUR|ple|EV|en	1				1	1
	the|PALE|pur.ple*|EV|en		1	1			1
Melts around thy flight;	MELTS|aro|UND|thy|FLIGHT	2					
Like a star of heaven	LIKE|a|STAR|of|HEAV|en	2					
	LIKE|a|STAR|of|HEAVEN						
	like.a|STAR|of|HEAV|en						
	like.a|STAR|of|HEAVEN						
In the broad daylight	IN|the|BROAD|day*|LIGHT	2	1				1
	IN|the|BROAD.DAY*|light*				1		1
	in.the|BROAD.DAY*|light*				1		1
	in.the|BROAD|day*|LIGHT		1				1
	in|THE*|broad*|DAY|light*					1	2
	in|THE*|broad*|DAY.LIGHT*			1		1	1
Thou art unseen, but yet I hear thy shrill delight:	thou|ART|un|SEEN|but|YET|i|HEAR|thy|SHRILL|de|LIGHT	1					
Keen as are the arrows	KEEN|as|ARE*|the|AR|rows	2				1	
Of that silver sphere,	OF*|that*|SIL|ver|SPHERE [*Bounded]	2				1	1
	of.that|SIL|ver|SPHERE						
Whose intense lamp narrows	WHOSE|in|TENSE|lamp*|NAR|rows	1					1
In the white dawn clear	IN|the|WHITE|dawn*|CLEAR	2					1
	in.the|WHITE|dawn*|CLEAR						1
Until we hardly see, we feel that it is there.	un|TIL|we|HARD|ly|SEE|we|FEEL|that|IT|is|THERE* [*Bounded]	2				1	
	un|TIL|we|HARD|ly|SEE|we|FEEL|that|IT|is.there						
	un|TIL|we|HARD|ly|SEE|we|FEEL|that.it|IS|there						
All the earth and air	ALL|the|EARTH|and|AIR	2					
	all.the|EARTH|and|AIR						
With thy voice is loud,	with.thy|VOICE|is|LOUD						
As, when night is bare,	AS*|when*|NIGHT|is|BARE [*Bounded]	1				1	1
	as.when|NIGHT|is|BARE						
From one lonely cloud	from.one|LONE|ly|CLOUD						
The moon rains out her beams, and heaven is overflow'd.	the|MOON|rains*|OUT*|her|BEAMS|and|HEAVEN|is|OVE|rfl|OW'D	1				1	1
	THE*|moon*|RAINS|out.her|BEAMS|and|HEAVEN|is|OVE|rfl|OW'D	1				1	1
	the|MOON.RAINS*|out.her|BEAMS|and|HEAVEN|is|OVE|rfl|OW'D				1		
What thou art we know not;	WHAT|thou|ART|we|KNOW|not	2					
	what.thou|ART|we|KNOW|not						
What is most like thee?	WHAT|is|MOST|like|THEE* [*Bounded]	2				1	
	what|IS|most|LIKE|thee						
	WHAT|is|MOST|like.thee						
	WHAT|is.most|LIKE|thee						
	what.is|MOST|like.thee						
From rainbow clouds there flow not	from|RAIN|bow*|CLOUDS|there|FLOW|not	2					1
Drops so bright to see	DROPS|so|BRIGHT|to|SEE	2					
As from thy presence showers a rain of melody;	as|FROM*|thy|PRES|ence|SHOWERS|a|RAIN|of|ME|lo|DY*	1				2	
	AS*|from.thy|PRES|ence|SHOWERS|a|RAIN|of|ME|lo|DY*					2	
	as|FROM*|thy|PRES|ence|SHOWERS|a|RAIN|of|ME.LO*|dy					2	
	AS*|from.thy|PRES|ence|SHOWERS|a|RAIN|of|ME.LO*|dy					2	
	as|FROM*|thy|PRES|ence|SHOWERS|a|RAIN|of|ME|lo.dy*			1		1	
	AS*|from.thy|PRES|ence|SHOWERS|a|RAIN|of|ME|lo.dy*			1		1	
Like a poet hidden	LIKE|a|PO|et|HID|den	1					
	like.a|PO|et|HID|den	1					
In the light of thought,	IN|the|LIGHT|of|THOUGHT	2					
	in.the|LIGHT|of|THOUGHT						
Singing hymns unbidden,	SI|nging|HYMNS|unbidden*						1
	SI|nging|HYMNS.UNBIDDEN*				1		
Till the world is wrought	till.the|WORLD|is|WROUGHT						
To sympathy with hopes and fears it heeded not:	to|SYM|pa|THY*|with|HOPES|and|FEARS|it|HEED|ed|NOT	2				1	
Like a high-born maiden	LIKE|a|HIGH|born*|MAID|en	2					1
	like.a|HIGH|born*|MAID|en						1
In a palace tower,	IN|a|PA|lace|TOW|er	1					
	IN|a|PA|lace|TOWER	1					
	in.a|PA|lace|TOW|er						
	in.a|PA|lace|TOWER						
Soothing her love-laden	SOOTH|ing|HER*|love*|LAD|en	1				1	1
	SOOTH|ing.her*|LOVE|lad.en*	1	1	1	1		1
	SOOTH|ing.her*|LOVE.LAD*|en				2		
	SOOTH.ING*|her|LOVE.LAD*|en			1	1	1	
Soul in secret hour	SOUL|in|SE|cret|HO|ur	1					
	SOUL|in|SE|cret|HOUR	1					
With music sweet as love, which overflows her bower:	with|MU|sic|SWEET|as|LOVE|which|OVE|rfl|OWS|her|BOWER	2					
	with|MU|sic|SWEET|as|LOVE|which|OVE|rfl|OWS|her|BOW|er						
Like a glow-worm golden	LIKE|a|GLOW|worm*|GOLD|en	2					1
	like.a|GLOW|worm*|GOLD|en						1
In a dell of dew,	IN|a|DELL|of|DEW	2					
	in.a|DELL|of|DEW						
Scattering unbeholden	SCA|ttering|UNBEHOLDEN						
Its aerial hue	its|AERI|al|HUE	1					
Among the flowers and grass, which screen it from the view:	am|ONG|the|FLOWERS|and|GRASS|which|SCREEN|it|FROM*|the|VIEW	1				1	
	am|ONG|the|FLOWERS|and|GRASS|which|SCREEN.IT*|from.the|VIEW				1		
Like a rose embower'd	LIKE|a|ROSE|embower'd*						1
	like.a|ROSE|embower'd*						1
	LIKE|a|ROSE.EMBOWER'D*				1		
	like.a|ROSE.EMBOWER'D*				1		
In its own green leaves,	IN|its|OWN|green*|LEAVES	2					1
	in.its|OWN|green*|LEAVES						1
	IN|its.own|GREEN|leaves*						1
	IN|its.own|GREEN.LEAVES*				1		
By warm winds deflower'd,	by|WARM|winds*|DEFLOWER'D						1
Till the scent it gives	till.the|SCENT|it|GIVES						
Makes faint with too much sweet these heavy-wingéd thieves.	makes*|FAINT|with|TOO|much|SWEET|these|HE|avy|WIN*|géd*|THIEVES [*Bounded]	1	1			1	2
	makes*|FAINT|with|TOO|much|SWEET|these|HE.AVY*|win|GÉD|thieves*					1	2
	makes*|FAINT|with|TOO|much|SWEET|these|HE|avy.win*|GÉD|thieves*				1		2
	MAKES.FAINT*|with|TOO|much|SWEET|these|HE.AVY*|win|GÉD|thieves*				1	1	1
	makes*|FAINT|with|TOO|much|SWEET|these|HE.AVY*|win|GÉD.THIEVES*				1	1	1
	MAKES.FAINT*|with|TOO|much|SWEET|these|HE|avy.win*|GÉD|thieves*				2		1
	makes*|FAINT|with|TOO|much|SWEET|these|HE|avy.win*|GÉD.THIEVES*				2		1
	MAKES.FAINT*|with|TOO|much|SWEET|these|HE.AVY*|win|GÉD.THIEVES*				2	1	
	MAKES.FAINT*|with|TOO|much|SWEET|these|HE|avy.win*|GÉD.THIEVES*				3		
Sound of vernal showers	SOUND|of|VER|nal|SHOW|ers	2					
	SOUND|of|VER|nal|SHOWERS						
On the twinkling grass,	on.the|TWIN|kling|GRASS						
Rain-awaken'd flowers,	RAIN|aw|AK|en'd|FLOW|ers	2					
	RAIN|aw|AK|en'd|FLOWERS						
All that ever was	ALL|that|EV|er|WAS*	2				1	
	ALL|that|EV.ER*|was					1	
	all.that|EV|er|WAS*					1	
	all.that|EV.ER*|was					1	
	ALL|that|EV|er.was*				1		
	all.that|EV|er.was*				1		
Joyous, and clear, and fresh, thy music doth surpass.	JOY|ous.and*|CLEAR|and|FRESH|thy|MU|sic|DOTH*|sur|PASS	2			1	1	
	JOY.OUS*|and|CLEAR|and|FRESH|thy|MU|sic|DOTH*|sur|PASS			1		2	
	joy*|OUS*|and|CLEAR|and|FRESH|thy|MU|sic|DOTH*|sur|PASS		1			2	1
Teach us, sprite or bird,	TEACH|us|SPRITE|or|BIRD	2					
What sweet thoughts are thine:	WHAT|sweet*|THOUGHTS|are|THINE* [*Bounded]	2				1	1
	WHAT|sweet*|THOUGHTS|are.thine						1
	what|SWEET.THOUGHTS*|are.thine				1		
I have never heard	I|have|NEV|er|HEARD	2					
	i.have|NEV|er|HEARD						
Praise of love or wine	PRAISE|of|LOVE|or|WINE	2					
That panted forth a flood of rapture so divine.	that|PANT|ed|FORTH|a|FLOOD|of|RAP|ture|SO*|di|VINE	1				1	
Chorus hymeneal	CHO|rus|HYMENEAL						
Or triumphal chaunt	OR*|tri|UMP|hal|CHAUNT	2				1	
	or.tri*|UMP|hal|CHAUNT				1		
Match'd with thine, would be all	MATCH'D|with|THINE*|would|BE|all [*Bounded]	2				1	
	MATCH'D|with.thine|WOULD|be|ALL						
	MATCH'D|with.thine|WOULD|be.all						
But an empty vaunt	but.an|EMP|ty|VAUNT						
A thing wherein we feel there is some hidden want.	a|THING|where|IN|we|FEEL|there|IS|some|HID|den|WANT	2					
What objects are the fountains	what|OB|jects|ARE*|the|FOUN|tains [*Bounded]	2				1	
	WHAT|ob|JECTS|are.the|FOUN|tains						
Of thy happy strain?	of.thy|HAP|py|STRAIN						
What fields, or waves, or mountains?	what|FIELDS|or|WAVES|or|MOUN|tains	2					
What shapes of sky or plain?	what|SHAPES|of|SKY|or|PLAIN	2					
What love of thine own kind? what ignorance of pain?	what|LOVE|of|THINE*|own|KIND|what|IG|no|RANCE*|of|PAIN	2				2	
	what|LOVE|of.thine|OWN.KIND*|what|IG|no|RANCE*|of|PAIN				1	1	
	what|LOVE|of.thine|OWN|kind*|WHAT|ig*|NO.RANCE*|of|PAIN		1	1		1	2
	what|LOVE|of.thine|OWN|kind*|WHAT|ig.no*|RANCE*|of|PAIN		1	1		1	2
With thy clear keen joyance	with.thy|CLEAR|keen*|JOYANCE						1
Languor cannot be:	LA|ng|UOR*|can|NOT|be					1	
	LA|ng.uor*|CAN|not|BE			1			
Shadow of annoyance	SHAD|ow|OF*|an|NOY|ance	2				1	
	SHAD.OW|of.an*|NOY|ance				1		
Never came near thee:	NEV|er|CAME|near|THEE* [*Bounded]	2				1	
	NEV|er|CAME|near.thee						
Thou lovest; but ne'er knew love's sad satiety.	thou|LOV.EST*|but|NE'ER|knew*|LOVE'S|sad*|SATIETY					1	2
	thou|LOV|est.but*|NE'ER|knew*|LOVE'S|sad*|SATIETY				1		2
	thou|LOV.EST*|but|NE'ER|knew.love's*|SAD.SATIETY*				2	1	1
	thou|LOV.EST*|but|NE'ER.KNEW*|love's*|SAD.SATIETY*				2	1	1
	thou|LOV.EST*|but|NE'ER.KNEW*|love's.sad*|SATIETY				2	1	1
	thou|LOV|est.but*|NE'ER|knew.love's*|SAD.SATIETY*				3		1
	thou|LOV|est.but*|NE'ER.KNEW*|love's*|SAD.SATIETY*				3		1
	thou|LOV|est.but*|NE'ER.KNEW*|love's.sad*|SATIETY				3		1
Waking or asleep	WAK|ing|OR*|asl|EEP	2				1	
Thou of death must deem	thou.of|DEATH|must|DEEM						
Things more true and deep	THINGS|more|TRUE|and|DEEP	2					
Than we mortals dream,	THAN*|we*|MOR|tals|DREAM [*Bounded]	2				1	1
	than.we|MOR|tals|DREAM						
Or how could thy notes flow in such a crystal stream?	or|HOW*|could.thy|NOTES.FLOW*|in|SUCH*|a|CRYS|tal|STREAM [*Bounded]	1			1	2	
	or.how|COULD|thy|NOTES|flow*|IN|such.a|CRYS|tal|STREAM						1
	or.how|COULD|thy|NOTES.FLOW*|in|SUCH*|a|CRYS|tal|STREAM				1	1	
We look before and after,	we|LOOK|be|FORE|and|AF|ter	2					
And pine for what is not:	and|PINE|for|WHAT|is|NOT	2					
	and|PINE|for|WHAT|is.not						
	and|PINE|for.what|IS|not						
Our sincerest laughter	our|SINCEREST.LAUGH*|ter				1		
	OUR*|sincerest*|LAUGH|ter					1	1
	our|SINCEREST|laugh.ter*		1	1			1
With some pain is fraught;	WITH*|some*|PAIN|is|FRAUGHT [*Bounded]	2				1	1
	with.some|PAIN|is|FRAUGHT						
Our sweetest songs are those that tell of saddest thought.	our|SWEET|est|SONGS|are|THOSE*|that|TELL|of|SAD|dest|THOUGHT	2				1	
	our|SWEET|est|SONGS|are.those|THAT.TELL*|of|SAD|dest|THOUGHT				1		
Yet if we could scorn	YET|if|WE|could|SCORN	2					
	yet.if|WE|could|SCORN						
Hate, and pride, and fear;	HATE|and|PRIDE|and|FEAR	2					
If we were things born	IF*|we*|WERE*|things*|BORN [*Bounded]	2				2	2
	if|WE|were|THINGS|born*						1
	if|WE|were|THINGS.BORN*				1		
Not to shed a tear,	NOT|to|SHED|a|TEAR	2					
	not.to|SHED|a|TEAR						
I know not how thy joy we ever should come near.	i|KNOW|not|HOW*|thy|JOY|we|EV|er|SHOULD|come*|NEAR	1				1	1
	I|know*|NOT|how.thy|JOY|we|EV|er|SHOULD|come*|NEAR						2
	i|KNOW|not|HOW*|thy|JOY|we|EV.ER*|should|COME|near					2	
	I|know*|NOT|how.thy|JOY|we|EV.ER*|should|COME|near					1	1
	i|KNOW|not|HOW*|thy|JOY|we|EV|er|SHOULD.COME*|near				1	1	
	i|KNOW|not|HOW*|thy|JOY|we|EV|er.should*|COME|near				1	1	
	I|know*|NOT|how.thy|JOY|we|EV|er|SHOULD.COME*|near				1		1
	I|know*|NOT|how.thy|JOY|we|EV|er.should*|COME|near				1		1
	i|KNOW.NOT*|how.thy|JOY|we|EV|er|SHOULD|come*|NEAR				1		1
	i|KNOW.NOT*|how.thy|JOY|we|EV.ER*|should|COME|near				1	1	
	i|KNOW.NOT*|how.thy|JOY|we|EV|er|SHOULD.COME*|near				2		
	i|KNOW.NOT*|how.thy|JOY|we|EV|er.should*|COME|near				2		
Better than all measures	BET|ter|THAN*|all|MEA|sures	2				1	
	BET.TER*|than.all|MEA|sures					1	
	BET|ter.than*|ALL.MEA*|sures				2		
	BET|ter.than*|ALL|mea.sures*		1		1		1
Of delightful sound,	OF*|de|LIGHT|ful|SOUND	2				1	
	of.de*|LIGHT|ful|SOUND				1		
Better than all treasures	BET|ter|THAN*|all|TREA|sures	2				1	
	BET.TER*|than.all|TREA|sures					1	
	BET|ter.than*|ALL.TREA*|sures				2		
	BET|ter.than*|ALL|trea.sures*		1		1		1
That in books are found,	THAT|in|BOOKS|are|FOUND	2					
	that.in|BOOKS|are|FOUND						
Thy skill to poet were, thou scorner of the ground!	thy|SKILL|to|PO|et|WERE*|thou|SCORNER|of.the|GROUND					1	
Once upon a midnight dreary, while I pondered, weak and weary,	ONCE|up|ON|a|MID|night*|DREA|ry|WHILE|i|PON|dered|WEAK|and|WE|ary	2					1
Over many a quaint and curious volume of forgotten lore,	OV|er|MA|ny.a*|QUAINT|and|CU|ri.ous*|VOL|ume|OF*|for|GOT|ten|LORE [*Bounded]	1		1	1	1	
	OV|er|MA.NY*|a|QUAINT|and|CUR|ious|VOL|ume|OF*|for|GOT|ten|LORE					2	
	OV|er|MA|ny.a*|QUAINT|and|CUR|ious|VOL|ume|OF*|for|GOT|ten|LORE				1	1	
While I nodded, nearly napping, suddenly there came a tapping,	WHILE|i|NOD|ded|NEAR|ly|NAP|ping|SUD|den|LY*|there|CAME|a|TAP|ping	1				1	
	while.i|NOD|ded|NEAR|ly|NAP|ping|SUD|den|LY*|there|CAME|a|TAP|ping					1	
As of some one gently rapping, rapping at my chamber door.	as.of|SOME|one|GEN|tly|RAP|ping|RAP|ping|AT|my|CHAM|ber|DOOR						
“'Tis some visiter,” I muttered, “tapping at my chamber door	TIS|some|VISITER|i|MUT|tered|TAP|ping|AT|my|CHAM|ber|DOOR						
Only this, and nothing more.”	ON|ly|THIS*|and|NOTH|ing|MORE	2				1	
Ah, distinctly I remember it was in the bleak December,	AH|dis|TINCT|ly|I|re|MEM|ber|IT|was|IN|the|BLEAK|de|CEM|ber	2					
And each separate dying ember wrought its ghost upon the floor.	and.each|SEP|arate|DY|ing|EM|ber|WROUGHT|its|GHOST|up|ON|the|FLOOR						
Eagerly I wished the morrow; vainly I had sought to borrow	EA|ger|LY*|i|WISHED|the|MOR|row|VAIN|ly|I|had|SOUGHT|to|BOR|row* [*Bounded]	2				1	1
	EA|ger|LY*|i|WISHED|the|MOR|row|VAIN|ly|I|had|SOUGHT|to|BOR.ROW					1	
	EA|ger.ly*|I.WISHED*|the|MOR|row|VAIN|ly|I|had|SOUGHT|to|BOR.ROW			1	1		
From my books surcease of sorrow sorrow for the lost Lenore	from.my|BOOKS.SURCEASE*|of|SOR|row|SOR|row|FOR*|the|LOST|len|ORE				1	1	
	from.my|BOOKS.SURCEASE*|of|SOR|row|SOR.ROW*|for.the|LOST|len|ORE				1	1	
	from|MY*|books*|SURCEASE|of|SOR|row|SOR|row|FOR*|the|LOST|len|ORE					2	1
	from|MY*|books*|SURCEASE|of|SOR|row|SOR.ROW*|for.the|LOST|len|ORE					2	1
For the rare and radiant maiden whom the angels name Lenore	for.the|RARE|and|RADI|ant|MAID|en|WHOM|the|AN|gels|NAME|len|ORE						
Nameless here for evermore.	NAME|less|HERE|for|EV|er|MORE	2					
And the silken sad uncertain rustling of each purple curtain	and.the|SI|lken|SAD|un|CER|tain|RUS|tling|OF*|each|PUR|ple|CUR|tain					1	
	and.the|SI|lken|SAD|un|CER|tain|RUS.TLING*|of.each|PUR|ple|CUR|tain					1	
	and.the|SI|lken|SAD|un|CER|tain|RUS|tling.of*|EACH.PUR*|ple|CUR|tain				2		
	and.the|SI|lken|SAD|un|CER|tain|RUS|tling.of*|EACH|pur.ple*|CUR|tain		1	1	1		1
Thrilled me filled me with fantastic terrors never felt before;	THRILLED|me|FILLED|me|WITH*|fan|TAS|tic|TER|rors|NEV|er|FELT|be|FORE	2				1	
So that now, to still the beating of my heart, I stood repeating	SO*|that*|NOW|to|STILL|the|BEAT|ing|OF*|my|HEART|i|STOOD|re|PEAT|ing [*Bounded]	2				2	1
	so.that|NOW|to|STILL|the|BEAT|ing|OF*|my|HEART|i|STOOD|re|PEAT|ing					1	
“'Tis some visiter entreating entrance at my chamber door	TIS|some|VISITER|entreating*|EN|trance|AT|my|CHAM|ber|DOOR						1
Some late visiter entreating entrance at my chamber door;	SOME|late*|VISITER|entreating*|EN|trance|AT|my|CHAM|ber|DOOR						2
	some|LATE|visiter*|ENTREATING.EN*|trance|AT|my|CHAM|ber|DOOR				1		1
	some|LATE|visiter.entreating*|EN|trance|AT|my|CHAM|ber|DOOR				1		1
	some|LATE.VISITER*|entreating*|EN|trance|AT|my|CHAM|ber|DOOR				1		1
This it is, and nothing more.”	THIS*|it*|IS|and|NOTH|ing|MORE [*Bounded]	2				1	1
	this|IT|is.and|NOTH|ing|MORE						
	this.it|IS|and|NOTH|ing|MORE						
Presently my soul grew stronger; hesitating then no longer,	PRE|sen|TLY*|my|SOUL|grew*|STRO|nger|HES|i|TAT|ing|THEN|no*|LON|ger	2				1	2
	PRE|sen|TLY*|my|SOUL|grew*|STRO|nger|HES|i|TAT|ing.then*|NO.LON*|ger				2	1	1
	PRE|sen|TLY*|my|SOUL|grew*|STRO|nger|HES|i|TAT.ING*|then|NO.LON*|ger			1	1	2	1
“Sir,” said I, “or Madam, truly your forgiveness I implore;	SIR|said*|I|or|MA|dam|TRU|ly|YOUR*|for|GIVE|ness|I|im|PLORE	2				1	1
	sir*|SAID|i.or|MA|dam|TRU|ly|YOUR*|for|GIVE|ness|I|im|PLORE					1	1
	SIR.SAID*|i.or|MA|dam|TRU|ly|YOUR*|for|GIVE|ness|I|im|PLORE				1	1	
But the fact is I was napping, and so gently you came rapping,	but.the|FACT|is|I|was|NAP|ping|AND*|so|GEN|tly|YOU*|came*|RAP|ping					2	1
	but.the|FACT|is|I|was|NAP.PING*|and.so|GEN|tly|YOU*|came*|RAP|ping					2	1
	but.the|FACT|is|I|was|NAP|ping|AND*|so|GEN|tly.you*|CAME.RAP*|ping				2	1	
	but.the|FACT|is|I|was|NAP.PING*|and.so|GEN|tly.you*|CAME.RAP*|ping				2	1	
	but.the|FACT|is|I|was|NAP|ping|AND*|so|GEN.TLY*|you|CAME.RAP*|ping			1	1	2	
	but.the|FACT|is|I|was|NAP.PING*|and.so|GEN.TLY*|you|CAME.RAP*|ping			1	1	2	
	but.the|FACT|is|I|was|NAP|ping|AND*|so|GEN|tly.you*|CAME|rap.ping*		1		1	1	1
	but.the|FACT|is|I|was|NAP.PING*|and.so|GEN|tly.you*|CAME|rap.ping*		1		1	1	1
And so faintly you came tapping, tapping at my chamber door,	and.so|FAINT|ly|YOU*|came*|TAP|ping|TAP|ping|AT|my|CHAM|ber|DOOR					1	1
	and.so|FAINT|ly.you*|CAME.TAP*|ping|TAP|ping|AT|my|CHAM|ber|DOOR				2		
	and.so|FAINT.LY*|you|CAME.TAP*|ping|TAP|ping|AT|my|CHAM|ber|DOOR			1	1	1	
	and.so|FAINT|ly.you*|CAME|tap.ping*|TAP|ping|AT|my|CHAM|ber|DOOR		1		1		1
